match_hash,tourney_name,tourney_date,is_hard,is_clay,is_grass,is_bo5,p1_name,p2_name,p1_height,p1_lefty,p1_age,p1_home,p1_rating,p1_dev,p1_surface_rating,p1_surface_dev,p1_recent_rating,p1_w,p1_l,p1_surface_w,p1_surface_l,p1_inactive_days,p2_height,p2_lefty,p2_age,p2_home,p2_rating,p2_dev,p2_surface_rating,p2_surface_dev,p2_recent_rating,p2_w,p2_l,p2_surface_w,p2_surface_l,p2_inactive_days,p1_win,p1_odds,p2_odds
2020Dns33Jro5113241017,Adelaide,20200113,1,0,0,0,Juan Ignacio Londero,Daniel Evans,180,0,26.4,0,1500.0,350.0,1500.0,350.0,1500.0,0,0,0,0,0,175,0,29.6,0,1622.6892900598345,184.3020502311616,1622.4993027846838,182.90600519179415,1624.24602199085,4,2,4,2,0,0,3.8,1.31
2020Sey45Gre821080643,Adelaide,20200113,1,0,0,0,Sam Querrey,Gregoire Barrere,198,0,32.2,0,1448.4165176291997,308.24212775382824,1448.3112897443739,308.0724344552749,1448.4165176291997,0,1,0,1,0,183,0,25.9,0,1551.8358606691124,236.52319109982963,1551.8358606691124,234.61291509217165,1543.221989064235,2,1,2,1,7,1,1.63,2.42
2020Jff37Sso941270586,Adelaide,20200113,1,0,0,0,Jan Lennard Struff,Salvatore Caruso,193,0,29.7,0,1412.1634612072658,208.31838042386133,1414.1828077279138,206.82622615032398,1434.123187725873,2,2,2,2,0,185,0,27.0,0,1304.779927274218,281.56318881353604,1304.779927274218,279.9604066557394,1304.779927274218,0,1,0,1,7,1,1.24,4.44
2020Alt157Srt66133230,Adelaide,20200113,1,0,0,0,Alex Bolt,Stephane Robert,183,1,27.0,1,1508.519207622376,192.4928194562724,1508.8899303073022,191.2427539713013,1504.6686993418946,3,2,3,2,0,185,0,39.6,0,1500.0,350.0,1500.0,350.0,1500.0,0,0,0,0,0,1,,
2020Jth96Fis73576709,Adelaide,20200113,1,0,0,0,James Duckworth,Federico Delbonis,183,0,27.9,1,1302.7297581587516,265.757003949154,1301.9459050583032,265.5574332496292,1302.7297581587516,0,1,0,1,0,190,1,29.2,0,1302.3477090800911,282.4253070577782,1302.3477090800911,280.82744535867624,1302.3477090800911,0,1,0,1,7,1,1.75,2.19
2020Urt57Bre249001598,Auckland,20200113,1,0,0,0,Ugo Humbert,Benoit Paire,188,1,21.5,0,1469.1396605396164,252.66128671451483,1469.1396605396164,250.87392412172747,1466.4045993753155,1,1,1,1,7,196,0,30.6,0,1591.1528422571757,226.15741309121532,1591.1528422571757,224.158817573859,1592.3949918109668,2,1,2,1,7,1,1.71,2.29
2020Bre24Hcz3415981318,Auckland,20200113,1,0,0,0,Benoit Paire,Hubert Hurkacz,196,0,30.6,0,1473.5207696884372,203.3133880401007,1474.9203010923993,201.76487772265924,1485.917291030678,2,2,2,2,0,196,0,22.9,0,1752.9635413459587,231.6670773722701,1752.9635413459587,229.71642243907894,1732.7777165405232,3,0,3,0,7,1,2.73,1.53
2020Urt57Jer209001770,Auckland,20200113,1,0,0,0,Ugo Humbert,John Isner,188,1,21.5,0,1613.5941314484048,219.8803457549536,1612.3783836955258,218.5572552011025,1602.953161806809,2,1,2,1,0,206,0,34.7,0,1200.1156688489984,223.0255742770112,1200.1156688489984,220.99865787282653,1207.3580028307945,0,3,0,3,7,1,2.01,1.92
2020Hcz34Fez611318888,Auckland,20200113,1,0,0,0,Hubert Hurkacz,Feliciano Lopez,196,0,22.9,0,1581.549024811153,211.21264572548174,1583.8788904175099,209.61912730781137,1594.3084664252474,3,1,3,1,0,188,1,38.3,0,1500.0,350.0,1500.0,350.0,1500.0,0,0,0,0,0,1,1.35,3.61
2020Bre24Jan4715981071,Auckland,20200113,1,0,0,0,Benoit Paire,John Millman,196,0,30.6,0,1604.7123128458875,189.80897859058803,1604.5654591415803,188.46312216560963,1602.7552785825562,3,2,3,2,0,183,0,30.5,0,1664.9837588489943,254.8387953037186,1664.9837588489943,253.06681250580962,1660.58642338576,2,0,2,0,7,1,2.33,1.69
